# eV, DoS
0.000000000000000000e+00 0.000000000000000000e+00
1.402869505418230869e-04 0.000000000000000000e+00
2.805739010836461739e-04 0.000000000000000000e+00
4.208608516254692608e-04 0.000000000000000000e+00
5.611478021672923477e-04 0.000000000000000000e+00
7.014347527091153263e-04 1.869989023279407803e-01
8.417217032509385216e-04 2.024365396933238137e-01
9.820086537927616085e-04 2.178741770587068194e-01
1.122295604334584695e-03 2.333118144240898528e-01
1.262582554876407782e-03 2.487494517894728308e-01
1.402869505418230653e-03 2.641870891548558364e-01
1.543156455960053956e-03 2.787375192715365602e-01
1.683443406501877043e-03 2.931141506324194124e-01
1.823730357043699913e-03 3.074907819933023201e-01
1.964017307585523217e-03 3.218674133541852278e-01
2.104304258127346304e-03 3.362440447150680800e-01
2.244591208669169391e-03 3.506206760759509877e-01
2.384878159210992478e-03 3.824499856691125355e-01
2.525165109752815565e-03 4.216465789208292403e-01
2.665452060294638218e-03 4.608431721725458896e-01
2.805739010836461305e-03 5.000397654242625389e-01
2.946025961378284826e-03 5.392363586759792993e-01
3.086312911920107913e-03 5.784329519276959486e-01
3.226599862461931000e-03 6.103545402486841853e-01
3.366886813003754086e-03 6.367912731939833204e-01
3.507173763545576740e-03 6.632280061392825665e-01
3.647460714087399827e-03 6.896647390845817016e-01
3.787747664629223347e-03 7.161014720298809477e-01
3.928034615171046434e-03 7.425382049751800828e-01
4.068321565712869521e-03 7.720026335113912008e-01
4.208608516254692608e-03 8.053657606332045304e-01
4.348895466796515695e-03 8.387288877550181931e-01
4.489182417338338782e-03 8.720920148768316338e-01
4.629469367880161002e-03 9.054551419986450744e-01
4.769756318421984956e-03 9.388182691204586261e-01
4.910043268963807175e-03 9.784632718948249597e-01
5.050330219505631130e-03 1.032483599420648712e+00
5.190617170047454217e-03 1.086503926946472243e+00
5.330904120589276436e-03 1.140524254472295551e+00
5.471191071131100390e-03 1.194544581998119526e+00
5.611478021672922610e-03 1.248564909523942834e+00
5.751764972214746564e-03 1.309199032853916700e+00
5.892051922756569651e-03 1.401878967292480960e+00
6.032338873298391871e-03 1.494558901731045220e+00
6.172625823840215825e-03 1.587238836169610146e+00
6.312912774382038045e-03 1.679918770608174405e+00
6.453199724923861999e-03 1.772598705046739331e+00
6.593486675465685086e-03 1.872517561688937127e+00
6.733773626007508173e-03 2.155423425630758505e+00
6.874060576549331260e-03 2.438329289572578329e+00
7.014347527091153479e-03 2.721235153514398597e+00
7.154634477632977434e-03 3.004141017456220197e+00
7.294921428174799653e-03 3.287046881398039577e+00
7.435208378716623608e-03 3.569952745339861178e+00
7.575495329258446695e-03 3.758873263149285826e+00
7.715782279800268914e-03 3.928818525724516508e+00
7.856069230342092868e-03 4.098763788299748079e+00
7.996356180883915088e-03 4.268709050874979205e+00
8.136643131425739042e-03 4.438654313450211220e+00
8.276930081967561262e-03 4.608599576025441458e+00
8.417217032509385216e-03 4.822429437325229884e+00
8.557503983051207436e-03 5.049219470785724084e+00
8.697790933593031390e-03 5.276009504246220949e+00
8.838077884134853610e-03 5.502799537706716038e+00
8.978364834676677564e-03 5.729589571167210238e+00
9.118651785218499783e-03 5.956379604627705326e+00
9.258938735760322003e-03 6.136389969939973099e+00
9.399225686302147692e-03 6.289970589090411401e+00
9.539512636843969912e-03 6.443551208240847927e+00
9.679799587385792131e-03 6.597131827391283565e+00
9.820086537927614351e-03 6.750712446541720091e+00
9.960373488469438305e-03 6.904293065692156617e+00
1.010066043901126226e-02 7.079212583697235495e+00
1.024094738955308448e-02 7.274968191526291150e+00
1.038123434009490843e-02 7.470723799355347694e+00
1.052152129063673065e-02 7.666479407184404238e+00
1.066180824117855287e-02 7.862235015013461670e+00
1.080209519172037856e-02 8.057990622842520878e+00
1.094238214226220078e-02 8.253746230671579198e+00
