  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.21193980E-09
  0.10420978E+01  0.21184330E-09
  0.10859679E+01  0.21174206E-09
  0.11316847E+01  0.21163585E-09
  0.11793262E+01  0.21152447E-09
  0.12289732E+01  0.21140767E-09
  0.12807103E+01  0.21128525E-09
  0.13346254E+01  0.21115698E-09
  0.13908102E+01  0.21102262E-09
  0.14493603E+01  0.21088197E-09
  0.15103752E+01  0.21073481E-09
  0.15739587E+01  0.21058093E-09
  0.16402189E+01  0.21042014E-09
  0.17092686E+01  0.21025223E-09
  0.17812250E+01  0.21007687E-09
  0.18562107E+01  0.20989367E-09
  0.19343531E+01  0.20970222E-09
  0.20157852E+01  0.20950207E-09
  0.21006453E+01  0.20929276E-09
  0.21890779E+01  0.20907376E-09
  0.22812333E+01  0.20884453E-09
  0.23772682E+01  0.20860447E-09
  0.24773460E+01  0.20835293E-09
  0.25816369E+01  0.20808935E-09
  0.26903181E+01  0.20781322E-09
  0.28035747E+01  0.20752400E-09
  0.29215990E+01  0.20722119E-09
  0.30445920E+01  0.20690425E-09
  0.31727626E+01  0.20657267E-09
  0.33063290E+01  0.20622594E-09
  0.34455182E+01  0.20586356E-09
  0.35905670E+01  0.20548493E-09
  0.37417220E+01  0.20508946E-09
  0.38992403E+01  0.20467654E-09
  0.40633898E+01  0.20424557E-09
  0.42344497E+01  0.20379598E-09
  0.44127107E+01  0.20332720E-09
  0.45984762E+01  0.20283868E-09
  0.47920620E+01  0.20232972E-09
  0.49937974E+01  0.20179955E-09
  0.52040253E+01  0.20124737E-09
  0.54231034E+01  0.20067240E-09
  0.56514042E+01  0.20007381E-09
  0.58893160E+01  0.19945080E-09
  0.61372433E+01  0.19880254E-09
  0.63956078E+01  0.19812823E-09
  0.66648489E+01  0.19742705E-09
  0.69454245E+01  0.19669822E-09
  0.72378117E+01  0.19594096E-09
  0.75425078E+01  0.19515456E-09
  0.78600309E+01  0.19433832E-09
  0.81909210E+01  0.19349160E-09
  0.85357408E+01  0.19261386E-09
  0.88950769E+01  0.19170448E-09
  0.92695402E+01  0.19076275E-09
  0.96597676E+01  0.18978800E-09
  0.10066423E+02  0.18877963E-09
  0.10490197E+02  0.18773706E-09
  0.10931811E+02  0.18665978E-09
  0.11392017E+02  0.18554723E-09
  0.11871596E+02  0.18439891E-09
  0.12371364E+02  0.18321439E-09
  0.12892171E+02  0.18199328E-09
  0.13434904E+02  0.18073520E-09
  0.14000484E+02  0.17943984E-09
  0.14589873E+02  0.17810695E-09
  0.15204075E+02  0.17673584E-09
  0.15844134E+02  0.17532546E-09
  0.16511137E+02  0.17387462E-09
  0.17206220E+02  0.17238198E-09
  0.17930564E+02  0.17084653E-09
  0.18685402E+02  0.16926806E-09
  0.19472016E+02  0.16764654E-09
  0.20291745E+02  0.16598210E-09
  0.21145984E+02  0.16427497E-09
  0.22036183E+02  0.16252502E-09
  0.22963858E+02  0.16073185E-09
  0.23930587E+02  0.15889500E-09
  0.24938012E+02  0.15701417E-09
  0.25987848E+02  0.15508979E-09
  0.27081880E+02  0.15312261E-09
  0.28221967E+02  0.15111250E-09
  0.29410051E+02  0.14905799E-09
  0.30648149E+02  0.14695755E-09
  0.31938370E+02  0.14481203E-09
  0.33282905E+02  0.14262346E-09
  0.34684043E+02  0.14039360E-09
  0.36144165E+02  0.13812226E-09
  0.37665755E+02  0.13580855E-09
  0.39251401E+02  0.13345138E-09
  0.40903800E+02  0.13105146E-09
  0.42625760E+02  0.12861075E-09
  0.44420211E+02  0.12613134E-09
  0.46290205E+02  0.12361446E-09
  0.48238922E+02  0.12106084E-09
  0.50269675E+02  0.11847196E-09
  0.52385918E+02  0.11584967E-09
  0.54591251E+02  0.11319578E-09
  0.56889423E+02  0.11051216E-09
  0.59284344E+02  0.10780114E-09
  0.61780085E+02  0.10506519E-09
  0.64380892E+02  0.10230685E-09
  0.67091186E+02  0.99528717E-10
  0.69915579E+02  0.96733512E-10
  0.72858872E+02  0.93925463E-10
  0.75926071E+02  0.91108459E-10
  0.79122393E+02  0.88283795E-10
  0.82453272E+02  0.85455446E-10
  0.85924375E+02  0.82628775E-10
  0.89541603E+02  0.79806328E-10
  0.93311109E+02  0.76990622E-10
  0.97239303E+02  0.74187393E-10
  0.10133287E+03  0.71402112E-10
  0.10559876E+03  0.68635756E-10
  0.11004423E+03  0.65893695E-10
  0.11467686E+03  0.63182972E-10
  0.11950450E+03  0.60501033E-10
  0.12453538E+03  0.57855168E-10
  0.12977805E+03  0.55252864E-10
  0.13524142E+03  0.52694292E-10
  0.14093479E+03  0.50181214E-10
  0.14686783E+03  0.47719984E-10
  0.15305065E+03  0.45318347E-10
  0.15949375E+03  0.42970401E-10
  0.16620808E+03  0.40683347E-10
  0.17320508E+03  0.38462244E-10
  0.18049664E+03  0.36305809E-10
  0.18809515E+03  0.34216705E-10
  0.19601354E+03  0.32199484E-10
  0.20426529E+03  0.30252988E-10
  0.21286441E+03  0.28378999E-10
  0.22182553E+03  0.26579103E-10
  0.23116391E+03  0.24853333E-10
  0.24089540E+03  0.23202639E-10
  0.25103657E+03  0.21626660E-10
  0.26160466E+03  0.20124665E-10
  0.27261765E+03  0.18696394E-10
  0.28409425E+03  0.17341791E-10
  0.29605400E+03  0.16059006E-10
  0.30851723E+03  0.14846283E-10
  0.32150513E+03  0.13702796E-10
  0.33503979E+03  0.12627348E-10
  0.34914423E+03  0.11616582E-10
  0.36384244E+03  0.10669457E-10
  0.37915941E+03  0.97837618E-11
  0.39512120E+03  0.89570727E-11
  0.41175493E+03  0.81867055E-11
  0.42908892E+03  0.74704195E-11
  0.44715262E+03  0.68059379E-11
  0.46597677E+03  0.61905953E-11
  0.48559337E+03  0.56218046E-11
  0.50603579E+03  0.50970867E-11
  0.52733880E+03  0.46139848E-11
  0.54953861E+03  0.41700475E-11
  0.57267298E+03  0.37629384E-11
  0.59678126E+03  0.33901945E-11
  0.62190445E+03  0.30493655E-11
  0.64808527E+03  0.27386587E-11
  0.67536824E+03  0.24560522E-11
  0.70379977E+03  0.21988842E-11
  0.73342820E+03  0.19657250E-11
  0.76430392E+03  0.17549567E-11
  0.79647945E+03  0.15642164E-11
  0.83000949E+03  0.13920928E-11
  0.86495108E+03  0.12372602E-11
  0.90136363E+03  0.10978578E-11
  0.93930906E+03  0.97277230E-12
  0.97885192E+03  0.86083197E-12
  0.10200594E+04  0.76061639E-12
  0.10630017E+04  0.67124223E-12
  0.11077518E+04  0.59156140E-12
  0.11543857E+04  0.52058545E-12
  0.12029828E+04  0.45759550E-12
  0.12536258E+04  0.40168264E-12
  0.13064007E+04  0.35221836E-12
  0.13613973E+04  0.30845461E-12
  0.14187091E+04  0.26980031E-12
  0.14784337E+04  0.23573568E-12
  0.15406725E+04  0.20573852E-12
  0.16055315E+04  0.17938330E-12
  0.16731208E+04  0.15621875E-12
  0.17435555E+04  0.13591813E-12
  0.18169554E+04  0.11812968E-12
  0.18934453E+04  0.10257948E-12
  0.19731552E+04  0.88981719E-13
  0.20562207E+04  0.77118047E-13
  0.21427831E+04  0.66770719E-13
  0.22329896E+04  0.57762319E-13
  0.23269936E+04  0.49924961E-13
  0.24249549E+04  0.43110867E-13
  0.25270402E+04  0.37194583E-13
  0.26334231E+04  0.32060823E-13
  0.27442844E+04  0.27612973E-13
  0.28598128E+04  0.23761071E-13
  0.29802047E+04  0.20429030E-13
  0.31056648E+04  0.17549863E-13
  0.32364065E+04  0.15062677E-13
  0.33726521E+04  0.12917074E-13
  0.35146334E+04  0.11068483E-13
  0.36625918E+04  0.94767573E-14
  0.38167789E+04  0.81072654E-14
  0.39774570E+04  0.69300723E-14
  0.41448992E+04  0.59190744E-14
  0.43193904E+04  0.50517101E-14
  0.45012273E+04  0.43081661E-14
  0.46907191E+04  0.36711902E-14
  0.48881882E+04  0.31261466E-14
  0.50939702E+04  0.26603990E-14
  0.53084152E+04  0.22625507E-14
  0.55318879E+04  0.19227158E-14
  0.57647683E+04  0.16329769E-14
  0.60074524E+04  0.13858407E-14
  0.62603530E+04  0.11757498E-14
  0.65239002E+04  0.99683318E-15
  0.67985421E+04  0.84455800E-15
  0.70847459E+04  0.71538091E-15
  0.73829982E+04  0.60551188E-15
  0.76938063E+04  0.51231431E-15
  0.80176987E+04  0.43318380E-15
  0.83552263E+04  0.36611123E-15
  0.87069631E+04  0.30935500E-15
  0.90735072E+04  0.26120217E-15
  0.94554820E+04  0.22049125E-15
  0.98535372E+04  0.18603500E-15
  0.10268350E+05  0.15685023E-15
  0.10700625E+05  0.13221379E-15
  0.11151098E+05  0.11139836E-15
  0.11620534E+05  0.93823522E-16
  0.12109733E+05  0.78978833E-16
  0.12619527E+05  0.66448930E-16
  0.13150781E+05  0.55929972E-16
  0.13704400E+05  0.46942570E-16
  0.14281326E+05  0.39490533E-16
  0.14882538E+05  0.33165797E-16
  0.15509061E+05  0.27822280E-16
  0.16161958E+05  0.23354322E-16
  0.16842341E+05  0.19594897E-16
  0.17551367E+05  0.16451180E-16
  0.18290241E+05  0.13763237E-16
  0.19060220E+05  0.11545736E-16
  0.19862614E+05  0.96763204E-17
  0.20698787E+05  0.81052599E-17
  0.21570160E+05  0.67896382E-17
  0.22478217E+05  0.56801288E-17
  0.23424501E+05  0.47464431E-17
  0.24410621E+05  0.39665614E-17
  0.25438255E+05  0.33109024E-17
  0.26509150E+05  0.27679787E-17
  0.27625127E+05  0.23157939E-17
  0.28788085E+05  0.19339757E-17
  0.30000000E+05  0.16158688E-17
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.44628557E-08
  0.10420978E+01  0.44658172E-08
  0.10859679E+01  0.44687170E-08
  0.11316847E+01  0.44715387E-08
  0.11793262E+01  0.44742655E-08
  0.12289732E+01  0.44768790E-08
  0.12807103E+01  0.44793595E-08
  0.13346254E+01  0.44816856E-08
  0.13908102E+01  0.44838344E-08
  0.14493603E+01  0.44857792E-08
  0.15103752E+01  0.44874890E-08
  0.15739587E+01  0.44889296E-08
  0.16402189E+01  0.44900635E-08
  0.17092686E+01  0.44908502E-08
  0.17812250E+01  0.44912466E-08
  0.18562107E+01  0.44912167E-08
  0.19343531E+01  0.44907282E-08
  0.20157852E+01  0.44897492E-08
  0.21006453E+01  0.44882492E-08
  0.21890779E+01  0.44861969E-08
  0.22812333E+01  0.44835398E-08
  0.23772682E+01  0.44802096E-08
  0.24773460E+01  0.44761311E-08
  0.25816369E+01  0.44712226E-08
  0.26903181E+01  0.44653985E-08
  0.28035747E+01  0.44585745E-08
  0.29215990E+01  0.44506633E-08
  0.30445920E+01  0.44416172E-08
  0.31727626E+01  0.44314438E-08
  0.33063290E+01  0.44201547E-08
  0.34455182E+01  0.44076311E-08
  0.35905670E+01  0.43936674E-08
  0.37417220E+01  0.43780758E-08
  0.38992403E+01  0.43608084E-08
  0.40633898E+01  0.43418651E-08
  0.42344497E+01  0.43212681E-08
  0.44127107E+01  0.42989714E-08
  0.45984762E+01  0.42748394E-08
  0.47920620E+01  0.42487221E-08
  0.49937974E+01  0.42204847E-08
  0.52040253E+01  0.41900550E-08
  0.54231034E+01  0.41573832E-08
  0.56514042E+01  0.41224261E-08
  0.58893160E+01  0.40851177E-08
  0.61372433E+01  0.40453968E-08
  0.63956078E+01  0.40032177E-08
  0.66648489E+01  0.39585552E-08
  0.69454245E+01  0.39114084E-08
  0.72378117E+01  0.38617766E-08
  0.75425078E+01  0.38096429E-08
  0.78600309E+01  0.37550054E-08
  0.81909210E+01  0.36978421E-08
  0.85357408E+01  0.36381254E-08
  0.88950769E+01  0.35758622E-08
  0.92695402E+01  0.35111172E-08
  0.96597676E+01  0.34439876E-08
  0.10066423E+02  0.33745502E-08
  0.10490197E+02  0.33028935E-08
  0.10931811E+02  0.32291094E-08
  0.11392017E+02  0.31533010E-08
  0.11871596E+02  0.30756114E-08
  0.12371364E+02  0.29962119E-08
  0.12892171E+02  0.29152696E-08
  0.13434904E+02  0.28329197E-08
  0.14000484E+02  0.27493119E-08
  0.14589873E+02  0.26646371E-08
  0.15204075E+02  0.25790860E-08
  0.15844134E+02  0.24928459E-08
  0.16511137E+02  0.24061104E-08
  0.17206220E+02  0.23190823E-08
  0.17930564E+02  0.22319666E-08
  0.18685402E+02  0.21449695E-08
  0.19472016E+02  0.20582923E-08
  0.20291745E+02  0.19721686E-08
  0.21145984E+02  0.18868325E-08
  0.22036183E+02  0.18024137E-08
  0.22963858E+02  0.17190805E-08
  0.23930587E+02  0.16370666E-08
  0.24938012E+02  0.15565592E-08
  0.25987848E+02  0.14776889E-08
  0.27081880E+02  0.14005821E-08
