# eV, DoS
0.000000000000000000e+00 0.000000000000000000e+00
1.261126798250630527e-04 0.000000000000000000e+00
2.522253596501261054e-04 0.000000000000000000e+00
3.783380394751891581e-04 0.000000000000000000e+00
5.044507193002522108e-04 0.000000000000000000e+00
6.305633991253152635e-04 0.000000000000000000e+00
7.566760789503783162e-04 0.000000000000000000e+00
8.827887587754413689e-04 0.000000000000000000e+00
1.008901438600504422e-03 0.000000000000000000e+00
1.135014118425567474e-03 0.000000000000000000e+00
1.261126798250630527e-03 0.000000000000000000e+00
1.387239478075693580e-03 0.000000000000000000e+00
1.513352157900756632e-03 0.000000000000000000e+00
1.639464837725819685e-03 0.000000000000000000e+00
1.765577517550882738e-03 0.000000000000000000e+00
1.891690197375945574e-03 0.000000000000000000e+00
2.017802877201008843e-03 0.000000000000000000e+00
2.143915557026071679e-03 0.000000000000000000e+00
2.270028236851134949e-03 0.000000000000000000e+00
2.396140916676197784e-03 -1.907684098902339698e-01
2.522253596501261054e-03 -5.199677599915115966e-02
2.648366276326324324e-03 -5.140878213926428075e-02
2.774478956151387159e-03 -9.169977809108408040e-02
2.900591635976449995e-03 2.477692990761677649e-02
3.026704315801513265e-03 1.059448054633994468e-01
3.152816995626576534e-03 4.456245390139058904e-02
3.278929675451639370e-03 2.914272086824183927e-01
3.405042355276702206e-03 -2.759077194417299816e-01
3.531155035101765476e-03 -3.540121437918395397e-01
3.657267714926828311e-03 7.478670056561755874e-01
3.783380394751891147e-03 8.024941864987594764e-01
3.909493074576954851e-03 5.458446285528093522e-01
4.035605754402017686e-03 1.544516660451137058e-01
4.161718434227080522e-03 -9.660803411587048917e-02
4.287831114052143358e-03 1.367133609415179363e+00
4.413943793877206194e-03 1.689636232575116637e+00
4.540056473702269897e-03 1.916834048064421259e+00
4.666169153527332733e-03 2.132159686318803704e+00
4.792281833352395569e-03 2.370021015728978941e+00
4.918394513177459272e-03 2.577691830134332562e+00
5.044507193002522108e-03 2.856295951900797991e+00
5.170619872827584944e-03 3.132987717228333580e+00
5.296732552652648647e-03 3.271595932815988483e+00
5.422845232477711483e-03 3.572249651049646424e+00
5.548957912302774319e-03 3.889584355987090625e+00
5.675070592127837155e-03 4.209858005500305644e+00
5.801183271952899990e-03 4.585965046476155216e+00
5.927295951777962826e-03 5.006601651130931252e+00
6.053408631603026530e-03 5.426156966356569633e+00
6.179521311428090233e-03 5.921396654709054630e+00
6.305633991253153069e-03 6.281778570616596724e+00
6.431746671078215905e-03 6.930204858469317664e+00
6.557859350903278740e-03 7.534104745520270541e+00
6.683972030728341576e-03 8.210227928314207446e+00
6.810084710553404412e-03 8.915563633983710545e+00
6.936197390378468115e-03 9.706116338304244806e+00
7.062310070203530951e-03 1.058901194137576596e+01
7.188422750028593787e-03 1.165813370872675492e+01
7.314535429853656623e-03 1.266064847364367019e+01
7.440648109678719459e-03 1.351774363213797869e+01
7.566760789503782295e-03 1.641706399532590055e+01
7.692873469328846865e-03 1.987875784017369085e+01
7.818986149153909701e-03 2.444499700276261578e+01
7.945098828978971670e-03 3.159595184512637545e+01
8.071211508804035373e-03 3.486398160445308037e+01
8.197324188629097341e-03 3.557486124027983010e+01
8.323436868454161044e-03 3.589012533138084393e+01
8.449549548279224748e-03 3.669203774317630007e+01
8.575662228104286716e-03 3.748818001862844795e+01
8.701774907929350419e-03 3.839420039103048055e+01
8.827887587754412388e-03 3.950648728343096394e+01
8.954000267579477826e-03 4.090685831378116433e+01
9.080112947404539794e-03 4.243372525906564618e+01
9.206225627229603498e-03 4.425504348471849880e+01
9.332338307054665466e-03 4.609355052448413659e+01
9.458450986879729169e-03 4.826524009186965714e+01
9.584563666704791138e-03 5.164825510618110371e+01
9.710676346529854841e-03 5.337733028463483720e+01
9.836789026354918544e-03 5.607187782753069882e+01
9.962901706179980513e-03 6.330957417952551225e+01
1.008901438600504422e-02 8.746539707263673336e+01
1.021512706583010618e-02 8.687174620213778553e+01
1.034123974565516989e-02 8.504823341560896210e+01
1.046735242548023186e-02 7.365119136039582770e+01
1.059346510530529729e-02 6.610957765994774604e+01
1.071957778513035926e-02 6.271298886218140467e+01
1.084569046495542297e-02 5.924997293850225333e+01
1.097180314478048493e-02 5.665586662201344836e+01
1.109791582460554864e-02 5.405845652436687487e+01
1.122402850443061234e-02 5.129029141004907899e+01
1.135014118425567431e-02 4.927042055102200635e+01
1.147625386408073801e-02 4.742831589077851362e+01
1.160236654390579998e-02 4.573932591846166673e+01
1.172847922373086368e-02 4.437037063754921462e+01
1.185459190355592565e-02 4.308436081357302072e+01
1.198070458338098936e-02 4.255843437954278841e+01
1.210681726320605306e-02 4.211433395750398034e+01
1.223292994303111676e-02 4.122674421911930409e+01
1.235904262285618047e-02 4.043472158445222675e+01
1.248515530268124243e-02 4.003862418802581402e+01
1.261126798250630614e-02 3.925849132652876250e+01
1.273738066233136811e-02 3.841923818465613039e+01
1.286349334215643181e-02 3.765671531767230107e+01
1.298960602198149378e-02 3.686984848620599564e+01
1.311571870180655748e-02 3.619154817972757598e+01
1.324183138163161945e-02 3.549496107338890027e+01
1.336794406145668315e-02 3.482553933502651944e+01
1.349405674128174512e-02 3.424589254045599773e+01
1.362016942110680882e-02 3.400487018130779404e+01
1.374628210093187426e-02 3.441577058494929986e+01
1.387239478075693623e-02 3.591052302645781680e+01
1.399850746058199993e-02 3.761215719623182707e+01
1.412462014040706190e-02 3.996370801165633679e+01
1.425073282023212561e-02 4.573629973840766638e+01
1.437684550005718757e-02 3.743361769453522925e+01
1.450295817988225128e-02 3.240171461612435166e+01
1.462907085970731325e-02 2.574576124569638580e+01
1.475518353953237695e-02 1.982462655888717151e+01
1.488129621935743892e-02 1.621328833820493998e+01
1.500740889918250262e-02 1.341617706285488865e+01
1.513352157900756459e-02 1.071646208180329474e+01
1.525963425883262829e-02 3.713741600506196505e+00
1.538574693865769373e-02 3.499312801615137136e+00
1.551185961848275570e-02 3.421230014403628950e+00
1.563797229830781940e-02 3.451606371299751785e+00
1.576408497813288137e-02 3.598068571432107898e+00
1.589019765795794334e-02 3.686356791195693816e+00
1.601631033778300878e-02 3.702965006817077853e+00
1.614242301760807075e-02 3.834897085614356715e+00
1.626853569743313271e-02 3.944291794912735405e+00
1.639464837725819468e-02 3.951483567987724044e+00
1.652076105708326012e-02 3.960758549427394026e+00
1.664687373690832209e-02 4.079080422590467769e+00
1.677298641673338406e-02 4.161269728998797213e+00
1.689909909655844950e-02 4.379903397629266060e+00
1.702521177638351146e-02 4.493871565130893586e+00
1.715132445620857343e-02 4.697612441838179720e+00
1.727743713603363540e-02 4.866845664349085610e+00
1.740354981585870084e-02 4.969069293269404497e+00
1.752966249568376281e-02 5.029443182375244348e+00
1.765577517550882478e-02 5.278393961986497906e+00
1.778188785533389021e-02 5.364401404831925291e+00
1.790800053515895565e-02 5.556468249587684483e+00
1.803411321498401762e-02 5.720320399754033502e+00
1.816022589480907959e-02 5.997906751396657299e+00
1.828633857463414503e-02 6.140993424351831820e+00
1.841245125445920700e-02 6.285400496084299071e+00
1.853856393428426896e-02 6.405109100764555308e+00
1.866467661410933093e-02 5.949610620083661594e+00
1.879078929393439637e-02 6.821286335914207299e+00
1.891690197375945834e-02 7.098872687556847971e+00
1.904301465358452031e-02 7.330505429495908665e+00
1.916912733340958228e-02 7.541538012803525426e+00
1.929524001323464771e-02 7.798795936909284521e+00
1.942135269305970968e-02 7.921075717909451974e+00
1.954746537288477165e-02 8.154714931831373192e+00
1.967357805270983709e-02 8.438021003957377530e+00
1.979969073253489906e-02 8.730844659854417600e+00
1.992580341235996103e-02 8.987473986759265898e+00
2.005191609218502299e-02 9.290369008464240963e+00
2.017802877201008843e-02 9.544026263314988157e+00
2.030414145183515040e-02 9.881485207955211791e+00
2.043025413166021237e-02 1.011934653736538614e+01
2.055636681148527434e-02 1.039361431103817068e+01
2.068247949131033978e-02 1.073571152304036325e+01
2.080859217113540174e-02 1.112415184428728487e+01
2.093470485096046371e-02 1.152572814375992571e+01
2.106081753078553262e-02 1.195119304295493912e+01
2.118693021061059459e-02 1.238375607884484531e+01
2.131304289043565656e-02 1.283588801451234751e+01
2.143915557026071853e-02 1.321063459422573061e+01
2.156526825008578396e-02 1.360958394648370273e+01
2.169138092991084593e-02 1.408992299198080111e+01
2.181749360973590790e-02 1.465106287696151455e+01
2.194360628956096987e-02 1.516749003475651847e+01
2.206971896938603531e-02 1.571467905013327560e+01
2.219583164921109728e-02 1.627923330960050308e+01
2.232194432903615924e-02 1.691539723142959062e+01
2.244805700886122468e-02 1.755156115325870658e+01
2.257416968868628665e-02 1.821180547047675091e+01
2.270028236851134862e-02 1.894946845554185444e+01
2.282639504833641059e-02 1.972637875327370338e+01
2.295250772816147602e-02 2.069380672218816741e+01
2.307862040798653799e-02 2.177912188767395207e+01
2.320473308781159996e-02 2.302610218290174160e+01
2.333084576763666193e-02 2.494797712463673989e+01
2.345695844746172737e-02 2.839862098134467772e+01
2.358307112728678934e-02 3.297641972382075437e+01
2.370918380711185131e-02 4.779788300423329162e+01
2.383529648693691674e-02 4.589763604134665087e+01
2.396140916676197871e-02 3.903169323183216477e+01
2.408752184658704068e-02 3.364110963201623150e+01
2.421363452641210612e-02 2.981076631936059584e+01
2.433974720623717156e-02 2.651398686107276248e+01
2.446585988606223352e-02 2.420796545358551199e+01
2.459197256588729549e-02 2.179636144185281665e+01
2.471808524571236093e-02 1.962722416870086661e+01
2.484419792553742290e-02 1.841003778380742517e+01
2.497031060536248487e-02 1.734186700575412843e+01
2.509642328518754684e-02 1.584998217434937651e+01
2.522253596501261227e-02 1.451225178478046907e+01
2.534864864483767424e-02 1.380028483662924366e+01
2.547476132466273621e-02 1.320927401766209464e+01
2.560087400448779818e-02 1.261826319869494561e+01
2.572698668431286362e-02 1.185248629386664554e+01
2.585309936413792559e-02 1.076284564703191293e+01
2.597921204396298756e-02 1.031452621099704103e+01
2.610532472378804952e-02 1.031452621099704103e+01
2.623143740361311496e-02 1.041839528289279926e+01
2.635755008343817693e-02 1.031760655182615949e+01
2.648366276326323890e-02 1.031452621099704103e+01
2.660977544308830434e-02 1.043583216033845318e+01
2.673588812291336630e-02 1.107721971815295881e+01
2.686200080273842827e-02 1.212191116476839703e+01
2.698811348256349024e-02 1.294726106773303975e+01
2.711422616238855568e-02 1.361966194653136242e+01
2.724033884221361765e-02 1.418196550488597474e+01
2.736645152203867962e-02 1.454117533450469502e+01
2.749256420186374852e-02 1.529572961249411023e+01
2.761867688168881049e-02 1.740943433552235931e+01
2.774478956151387246e-02 1.923786660403941795e+01
2.787090224133893443e-02 2.041517732932138784e+01
2.799701492116399987e-02 2.111310865954501281e+01
2.812312760098906184e-02 2.132004397134119600e+01
2.824924028081412380e-02 2.146209815245692099e+01
2.837535296063918577e-02 2.193132850408154155e+01
2.850146564046425121e-02 2.248533369004763927e+01
2.862757832028931318e-02 2.297406042384606906e+01
2.875369100011437515e-02 2.340617451013066841e+01
2.887980367993944059e-02 2.340851205532392854e+01
2.900591635976450255e-02 2.322278221053274194e+01
2.913202903958956452e-02 2.306646671749854960e+01
2.925814171941462649e-02 2.320072505033477483e+01
2.938425439923969193e-02 2.353849142329339372e+01
2.951036707906475390e-02 2.392210973066354640e+01
2.963647975888981587e-02 2.429222247555678038e+01
2.976259243871487783e-02 2.461070927207562420e+01
2.988870511853994327e-02 2.469065936351285018e+01
3.001481779836500524e-02 2.453498498804094652e+01
3.014093047819006721e-02 2.392191019406005026e+01
3.026704315801512918e-02 2.334819741251339309e+01
3.039315583784019462e-02 2.339753203939004678e+01
3.051926851766525658e-02 2.297806482535388639e+01
3.064538119749031855e-02 2.243730380751057041e+01
3.077149387731538746e-02 2.217051537874866440e+01
3.089760655714044943e-02 2.180729312631666161e+01
3.102371923696551140e-02 2.149725926556781630e+01
3.114983191679057337e-02 2.116513218440246646e+01
3.127594459661563880e-02 2.084928150770323541e+01
3.140205727644070077e-02 2.056920046410835212e+01
3.152816995626576274e-02 2.026563580209873550e+01
3.165428263609082471e-02 1.982510572298305362e+01
3.178039531591588668e-02 1.933416507980800603e+01
3.190650799574095559e-02 1.900037758623509276e+01
3.203262067556601755e-02 1.858817294415450760e+01
3.215873335539107952e-02 1.822343350215449576e+01
