  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.11972468E-12
  0.10456357E+01  0.11968774E-12
  0.10933540E+01  0.11964926E-12
  0.11432499E+01  0.11960915E-12
  0.11954229E+01  0.11956737E-12
  0.12499768E+01  0.11952384E-12
  0.13070204E+01  0.11947851E-12
  0.13666671E+01  0.11943131E-12
  0.14290359E+01  0.11938217E-12
  0.14942509E+01  0.11933102E-12
  0.15624421E+01  0.11927779E-12
  0.16337452E+01  0.11922242E-12
  0.17083022E+01  0.11916482E-12
  0.17862617E+01  0.11910492E-12
  0.18677790E+01  0.11904265E-12
  0.19530164E+01  0.11897793E-12
  0.20421436E+01  0.11891068E-12
  0.21353382E+01  0.11884083E-12
  0.22327858E+01  0.11876830E-12
  0.23346805E+01  0.11869302E-12
  0.24412252E+01  0.11861489E-12
  0.25526322E+01  0.11853386E-12
  0.26691232E+01  0.11844984E-12
  0.27909305E+01  0.11836275E-12
  0.29182965E+01  0.11827253E-12
  0.30514749E+01  0.11817911E-12
  0.31907310E+01  0.11808241E-12
  0.33363422E+01  0.11798238E-12
  0.34885984E+01  0.11787895E-12
  0.36478030E+01  0.11777206E-12
  0.38142729E+01  0.11766168E-12
  0.39883398E+01  0.11754774E-12
  0.41703504E+01  0.11743022E-12
  0.43606672E+01  0.11730909E-12
  0.45596692E+01  0.11718432E-12
  0.47677528E+01  0.11705590E-12
  0.49853324E+01  0.11692384E-12
  0.52128414E+01  0.11678814E-12
  0.54507329E+01  0.11664884E-12
  0.56994808E+01  0.11650597E-12
  0.59595804E+01  0.11635958E-12
  0.62315499E+01  0.11620975E-12
  0.65159309E+01  0.11605657E-12
  0.68132898E+01  0.11590014E-12
  0.71242189E+01  0.11574060E-12
  0.74493374E+01  0.11557810E-12
  0.77892930E+01  0.11541281E-12
  0.81447626E+01  0.11524493E-12
  0.85164544E+01  0.11507467E-12
  0.89051085E+01  0.11490229E-12
  0.93114992E+01  0.11472805E-12
  0.97364357E+01  0.11455224E-12
  0.10180765E+02  0.11437517E-12
  0.10645371E+02  0.11419718E-12
  0.11131179E+02  0.11401863E-12
  0.11639158E+02  0.11383986E-12
  0.12170319E+02  0.11366127E-12
  0.12725720E+02  0.11348321E-12
  0.13306467E+02  0.11330605E-12
  0.13913716E+02  0.11313016E-12
  0.14548678E+02  0.11295585E-12
  0.15212617E+02  0.11278338E-12
  0.15906855E+02  0.11261296E-12
  0.16632775E+02  0.11244471E-12
  0.17391823E+02  0.11227860E-12
  0.18185510E+02  0.11211445E-12
  0.19015418E+02  0.11195189E-12
  0.19883200E+02  0.11179032E-12
  0.20790583E+02  0.11162953E-12
  0.21739375E+02  0.11146989E-12
  0.22731466E+02  0.11131174E-12
  0.23768832E+02  0.11115543E-12
  0.24853539E+02  0.11100123E-12
  0.25987747E+02  0.11084937E-12
  0.27173715E+02  0.11070002E-12
  0.28413806E+02  0.11055321E-12
  0.29710489E+02  0.11040884E-12
  0.31066348E+02  0.11026663E-12
  0.32484081E+02  0.11012608E-12
  0.33966514E+02  0.10998638E-12
  0.35516599E+02  0.10984649E-12
  0.37137423E+02  0.10970607E-12
  0.38832214E+02  0.10956533E-12
  0.40604349E+02  0.10942450E-12
  0.42457356E+02  0.10928379E-12
  0.44394926E+02  0.10914337E-12
  0.46420918E+02  0.10900340E-12
  0.48539368E+02  0.10886397E-12
  0.50754495E+02  0.10872512E-12
  0.53070711E+02  0.10858688E-12
  0.55492628E+02  0.10844915E-12
  0.58025072E+02  0.10831173E-12
  0.60673085E+02  0.10817425E-12
  0.63441942E+02  0.10803616E-12
  0.66337158E+02  0.10789664E-12
  0.69364499E+02  0.10775462E-12
  0.72529995E+02  0.10760897E-12
  0.75839950E+02  0.10745943E-12
  0.79300958E+02  0.10730598E-12
  0.82919910E+02  0.10714857E-12
  0.86704016E+02  0.10698714E-12
  0.90660813E+02  0.10682165E-12
  0.94798180E+02  0.10665201E-12
  0.99124359E+02  0.10647807E-12
  0.10364797E+03  0.10629967E-12
  0.10837801E+03  0.10611659E-12
  0.11332391E+03  0.10592855E-12
  0.11849553E+03  0.10573519E-12
  0.12390315E+03  0.10553613E-12
  0.12955756E+03  0.10533097E-12
  0.13547000E+03  0.10511924E-12
  0.14165227E+03  0.10490034E-12
  0.14811666E+03  0.10467358E-12
  0.15487607E+03  0.10443857E-12
  0.16194394E+03  0.10419519E-12
  0.16933436E+03  0.10394334E-12
  0.17706205E+03  0.10368295E-12
  0.18514240E+03  0.10341374E-12
  0.19359150E+03  0.10313475E-12
  0.20242617E+03  0.10284468E-12
  0.21166403E+03  0.10254196E-12
  0.22132346E+03  0.10222501E-12
  0.23142371E+03  0.10189342E-12
  0.24198488E+03  0.10154720E-12
  0.25302803E+03  0.10118653E-12
  0.26457513E+03  0.10081129E-12
  0.27664920E+03  0.10042092E-12
  0.28927427E+03  0.10001482E-12
  0.30247550E+03  0.99592292E-13
  0.31627917E+03  0.99152184E-13
  0.33071278E+03  0.98692916E-13
  0.34580508E+03  0.98212992E-13
  0.36158613E+03  0.97712587E-13
  0.37808736E+03  0.97192752E-13
  0.39534163E+03  0.96654962E-13
  0.41338331E+03  0.96099274E-13
  0.43224834E+03  0.95523709E-13
  0.45197428E+03  0.94926394E-13
  0.47260044E+03  0.94306585E-13
  0.49416788E+03  0.93663711E-13
  0.51671956E+03  0.92997200E-13
  0.54030041E+03  0.92306418E-13
  0.56495738E+03  0.91591062E-13
  0.59073959E+03  0.90851914E-13
  0.61769839E+03  0.90090320E-13
  0.64588748E+03  0.89305822E-13
  0.67536299E+03  0.88491869E-13
  0.70618363E+03  0.87646282E-13
  0.73841080E+03  0.86772757E-13
  0.77210867E+03  0.85874984E-13
  0.80734438E+03  0.84948587E-13
  0.84418808E+03  0.83989744E-13
  0.88271317E+03  0.83000764E-13
  0.92299639E+03  0.81984068E-13
  0.96511795E+03  0.80937413E-13
  0.10091618E+04  0.79859285E-13
  0.10552155E+04  0.78750783E-13
  0.11033710E+04  0.77612112E-13
  0.11537241E+04  0.76442079E-13
  0.12063751E+04  0.75242005E-13
  0.12614288E+04  0.74013776E-13
  0.13189950E+04  0.72756818E-13
  0.13791882E+04  0.71469549E-13
  0.14421284E+04  0.70151096E-13
  0.15079409E+04  0.68806238E-13
  0.15767568E+04  0.67437431E-13
  0.16487131E+04  0.66042348E-13
  0.17239533E+04  0.64619205E-13
  0.18026270E+04  0.63172069E-13
  0.18848911E+04  0.61705518E-13
  0.19709094E+04  0.60217581E-13
  0.20608532E+04  0.58710084E-13
  0.21549016E+04  0.57183657E-13
  0.22532420E+04  0.55640244E-13
  0.23560703E+04  0.54083890E-13
  0.24635911E+04  0.52514795E-13
  0.25760188E+04  0.50935404E-13
  0.26935771E+04  0.49347848E-13
  0.28165003E+04  0.47754012E-13
  0.29450332E+04  0.46156106E-13
  0.30794318E+04  0.44556902E-13
  0.32199637E+04  0.42957887E-13
  0.33669090E+04  0.41365145E-13
  0.35205601E+04  0.39777314E-13
  0.36812233E+04  0.38196409E-13
  0.38492184E+04  0.36627259E-13
  0.40248800E+04  0.35071769E-13
  0.42085582E+04  0.33532608E-13
  0.44006186E+04  0.32014210E-13
  0.46014438E+04  0.30515021E-13
  0.48114338E+04  0.29039966E-13
  0.50310068E+04  0.27590990E-13
  0.52606002E+04  0.26170555E-13
  0.55006712E+04  0.24781398E-13
  0.57516981E+04  0.23426505E-13
  0.60141807E+04  0.22105295E-13
  0.62886419E+04  0.20820930E-13
  0.65756283E+04  0.19575311E-13
  0.68757115E+04  0.18369889E-13
  0.71894893E+04  0.17206116E-13
  0.75175865E+04  0.16085971E-13
  0.78606566E+04  0.15008872E-13
  0.82193830E+04  0.13976401E-13
  0.85944801E+04  0.12989062E-13
  0.89866950E+04  0.12047250E-13
  0.93968089E+04  0.11151039E-13
  0.98256386E+04  0.10300531E-13
  0.10274038E+05  0.94952077E-14
  0.10742901E+05  0.87347586E-14
  0.11233160E+05  0.80183933E-14
  0.11745793E+05  0.73453114E-14
  0.12281820E+05  0.67144955E-14
  0.12842310E+05  0.61248459E-14
  0.13428377E+05  0.55752433E-14
  0.14041190E+05  0.50641664E-14
  0.14681969E+05  0.45901068E-14
  0.15351991E+05  0.41515519E-14
  0.16052589E+05  0.37469048E-14
  0.16785160E+05  0.33743889E-14
  0.17551162E+05  0.30325808E-14
  0.18352121E+05  0.27196200E-14
  0.19189633E+05  0.24337999E-14
  0.20065365E+05  0.21734560E-14
  0.20981061E+05  0.19369000E-14
  0.21938546E+05  0.17224809E-14
  0.22939727E+05  0.15285623E-14
  0.23986596E+05  0.13537761E-14
  0.25081241E+05  0.11965142E-14
  0.26225840E+05  0.10553995E-14
  0.27422674E+05  0.92904905E-15
  0.28674126E+05  0.81621148E-15
  0.29982690E+05  0.71560136E-15
  0.31350970E+05  0.62622194E-15
  0.32781693E+05  0.54693895E-15
  0.34277707E+05  0.47678576E-15
  0.35841994E+05  0.41484570E-15
  0.37477667E+05  0.36027973E-15
  0.39187986E+05  0.31230159E-15
  0.40976356E+05  0.27021875E-15
  0.42846340E+05  0.23338991E-15
  0.44801661E+05  0.20121847E-15
  0.46846215E+05  0.17318093E-15
  0.48984074E+05  0.14879120E-15
  0.51219495E+05  0.12761751E-15
  0.53556932E+05  0.10927007E-15
  0.56001038E+05  0.93401394E-16
  0.58556683E+05  0.79708121E-16
  0.61228957E+05  0.67911357E-16
  0.64023182E+05  0.57769355E-16
  0.66944923E+05  0.49064098E-16
  0.70000000E+05  0.41606226E-16
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.42168493E-11
  0.10456357E+01  0.42153322E-11
  0.10933540E+01  0.42137486E-11
  0.11432499E+01  0.42120955E-11
  0.11954229E+01  0.42103703E-11
  0.12499768E+01  0.42085698E-11
  0.13070204E+01  0.42066910E-11
  0.13666671E+01  0.42047307E-11
  0.14290359E+01  0.42026857E-11
  0.14942509E+01  0.42005524E-11
  0.15624421E+01  0.41983274E-11
  0.16337452E+01  0.41960071E-11
  0.17083022E+01  0.41935877E-11
  0.17862617E+01  0.41910655E-11
  0.18677790E+01  0.41884364E-11
  0.19530164E+01  0.41856964E-11
  0.20421436E+01  0.41828415E-11
  0.21353382E+01  0.41798673E-11
  0.22327858E+01  0.41767697E-11
  0.23346805E+01  0.41735441E-11
  0.24412252E+01  0.41701861E-11
  0.25526322E+01  0.41666913E-11
  0.26691232E+01  0.41630550E-11
  0.27909305E+01  0.41592727E-11
  0.29182965E+01  0.41553399E-11
  0.30514749E+01  0.41512519E-11
  0.31907310E+01  0.41470043E-11
  0.33363422E+01  0.41425925E-11
  0.34885984E+01  0.41380123E-11
  0.36478030E+01  0.41332595E-11
  0.38142729E+01  0.41283300E-11
  0.39883398E+01  0.41232202E-11
  0.41703504E+01  0.41179266E-11
  0.43606672E+01  0.41124461E-11
  0.45596692E+01  0.41067762E-11
  0.47677528E+01  0.41009149E-11
  0.49853324E+01  0.40948608E-11
  0.52128414E+01  0.40886133E-11
  0.54507329E+01  0.40821728E-11
  0.56994808E+01  0.40755408E-11
  0.59595804E+01  0.40687198E-11
  0.62315499E+01  0.40617141E-11
  0.65159309E+01  0.40545294E-11
  0.68132898E+01  0.40471736E-11
  0.71242189E+01  0.40396566E-11
  0.74493374E+01  0.40319902E-11
  0.77892930E+01  0.40241822E-11
  0.81447626E+01  0.40162382E-11
  0.85164544E+01  0.40081645E-11
  0.89051085E+01  0.39999675E-11
  0.93114992E+01  0.39916537E-11
  0.97364357E+01  0.39832293E-11
  0.10180765E+02  0.39747005E-11
  0.10645371E+02  0.39660726E-11
  0.11131179E+02  0.39573496E-11
  0.11639158E+02  0.39485342E-11
  0.12170319E+02  0.39396266E-11
  0.12725720E+02  0.39306241E-11
  0.13306467E+02  0.39215200E-11
  0.13913716E+02  0.39123027E-11
  0.14548678E+02  0.39029543E-11
  0.15212617E+02  0.38934495E-11
  0.15906855E+02  0.38837745E-11
  0.16632775E+02  0.38739339E-11
  0.17391823E+02  0.38639332E-11
  0.18185510E+02  0.38537776E-11
  0.19015418E+02  0.38434713E-11
  0.19883200E+02  0.38330179E-11
  0.20790583E+02  0.38224189E-11
  0.21739375E+02  0.38116738E-11
  0.22731466E+02  0.38007802E-11
  0.23768832E+02  0.37897394E-11
  0.24853539E+02  0.37785537E-11
  0.25987747E+02  0.37672227E-11
  0.27173715E+02  0.37557427E-11
  0.28413806E+02  0.37441058E-11
  0.29710489E+02  0.37322984E-11
  0.31066348E+02  0.37202999E-11
  0.32484081E+02  0.37080808E-11
  0.33966514E+02  0.36956013E-11
  0.35516599E+02  0.36828299E-11
