  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.51688068E-11
  0.10404090E+01  0.51674973E-11
  0.10824510E+01  0.51661343E-11
  0.11261918E+01  0.51647159E-11
  0.11717001E+01  0.51632397E-11
  0.12190474E+01  0.51617037E-11
  0.12683080E+01  0.51601054E-11
  0.13195591E+01  0.51584425E-11
  0.13728812E+01  0.51567127E-11
  0.14283580E+01  0.51549133E-11
  0.14860766E+01  0.51530419E-11
  0.15461276E+01  0.51510958E-11
  0.16086051E+01  0.51490725E-11
  0.16736073E+01  0.51469691E-11
  0.17412362E+01  0.51447830E-11
  0.18115979E+01  0.51425115E-11
  0.18848028E+01  0.51401518E-11
  0.19609659E+01  0.51377012E-11
  0.20402067E+01  0.51351569E-11
  0.21226495E+01  0.51325163E-11
  0.22084237E+01  0.51297767E-11
  0.22976640E+01  0.51269357E-11
  0.23905104E+01  0.51239906E-11
  0.24871087E+01  0.51209387E-11
  0.25876104E+01  0.51177770E-11
  0.26921732E+01  0.51145027E-11
  0.28009614E+01  0.51111133E-11
  0.29141456E+01  0.51076061E-11
  0.30319034E+01  0.51039787E-11
  0.31544197E+01  0.51002288E-11
  0.32818868E+01  0.50963544E-11
  0.34145047E+01  0.50923539E-11
  0.35524816E+01  0.50882259E-11
  0.36960340E+01  0.50839693E-11
  0.38453872E+01  0.50795837E-11
  0.40007757E+01  0.50750692E-11
  0.41624432E+01  0.50704264E-11
  0.43306436E+01  0.50656569E-11
  0.45056407E+01  0.50607630E-11
  0.46877094E+01  0.50557481E-11
  0.48771352E+01  0.50506141E-11
  0.50742156E+01  0.50453600E-11
  0.52792599E+01  0.50399842E-11
  0.54925897E+01  0.50344849E-11
  0.57145400E+01  0.50288598E-11
  0.59454591E+01  0.50231063E-11
  0.61857095E+01  0.50172210E-11
  0.64356681E+01  0.50111999E-11
  0.66957273E+01  0.50050379E-11
  0.69662953E+01  0.49987290E-11
  0.72477966E+01  0.49922702E-11
  0.75406732E+01  0.49856627E-11
  0.78453846E+01  0.49789087E-11
  0.81624091E+01  0.49720108E-11
  0.84922443E+01  0.49649726E-11
  0.88354078E+01  0.49577981E-11
  0.91924382E+01  0.49504921E-11
  0.95638959E+01  0.49430604E-11
  0.99503638E+01  0.49355094E-11
  0.10352449E+02  0.49278467E-11
  0.10770781E+02  0.49200807E-11
  0.11206018E+02  0.49122165E-11
  0.11658843E+02  0.49042493E-11
  0.12129965E+02  0.48961707E-11
  0.12620126E+02  0.48879688E-11
  0.13130093E+02  0.48796275E-11
  0.13660667E+02  0.48711254E-11
  0.14212682E+02  0.48624356E-11
  0.14787003E+02  0.48535391E-11
  0.15384532E+02  0.48444348E-11
  0.16006206E+02  0.48351232E-11
  0.16653001E+02  0.48256055E-11
  0.17325933E+02  0.48158829E-11
  0.18026058E+02  0.48059569E-11
  0.18754474E+02  0.47958296E-11
  0.19512324E+02  0.47855025E-11
  0.20300798E+02  0.47749710E-11
  0.21121134E+02  0.47642220E-11
  0.21974619E+02  0.47532386E-11
  0.22862593E+02  0.47419992E-11
  0.23786448E+02  0.47304767E-11
  0.24747636E+02  0.47186376E-11
  0.25747664E+02  0.47064480E-11
  0.26788103E+02  0.46938901E-11
  0.27870585E+02  0.46809485E-11
  0.28996808E+02  0.46676055E-11
  0.30168542E+02  0.46538410E-11
  0.31387624E+02  0.46396332E-11
  0.32655968E+02  0.46249626E-11
  0.33975564E+02  0.46098089E-11
  0.35348484E+02  0.45941493E-11
  0.36776883E+02  0.45779583E-11
  0.38263002E+02  0.45612072E-11
  0.39809173E+02  0.45438699E-11
  0.41417824E+02  0.45259285E-11
  0.43091479E+02  0.45073658E-11
  0.44832764E+02  0.44881647E-11
  0.46644414E+02  0.44683102E-11
  0.48529270E+02  0.44477900E-11
  0.50490292E+02  0.44265931E-11
  0.52530556E+02  0.44047099E-11
  0.54653266E+02  0.43821300E-11
  0.56861752E+02  0.43588292E-11
  0.59159481E+02  0.43347760E-11
  0.61550060E+02  0.43099350E-11
  0.64037239E+02  0.42842809E-11
  0.66624923E+02  0.42578226E-11
  0.69317172E+02  0.42305810E-11
  0.72118213E+02  0.42025837E-11
  0.75032441E+02  0.41738257E-11
  0.78064431E+02  0.41442733E-11
  0.81218940E+02  0.41138864E-11
  0.84500920E+02  0.40826267E-11
  0.87915522E+02  0.40505126E-11
  0.91468104E+02  0.40175977E-11
  0.95164243E+02  0.39839221E-11
  0.99009740E+02  0.39494833E-11
  0.10301063E+03  0.39142727E-11
  0.10717319E+03  0.38782842E-11
  0.11150396E+03  0.38415303E-11
  0.11600973E+03  0.38040320E-11
  0.12069757E+03  0.37658054E-11
  0.12557484E+03  0.37268573E-11
  0.13064920E+03  0.36871952E-11
  0.13592861E+03  0.36468425E-11
  0.14142136E+03  0.36058372E-11
  0.14713606E+03  0.35642175E-11
  0.15308169E+03  0.35219843E-11
  0.15926757E+03  0.34791183E-11
  0.16570342E+03  0.34356190E-11
  0.17239934E+03  0.33914909E-11
  0.17936583E+03  0.33467336E-11
  0.18661383E+03  0.33013401E-11
  0.19415472E+03  0.32553158E-11
  0.20200033E+03  0.32086841E-11
  0.21016297E+03  0.31614608E-11
  0.21865546E+03  0.31136363E-11
  0.22749111E+03  0.30651785E-11
  0.23668381E+03  0.30160009E-11
  0.24624798E+03  0.29660665E-11
  0.25619863E+03  0.29154927E-11
  0.26655137E+03  0.28643321E-11
  0.27732246E+03  0.28124002E-11
  0.28852879E+03  0.27596946E-11
  0.30018797E+03  0.27063582E-11
  0.31231828E+03  0.26523577E-11
  0.32493876E+03  0.25975837E-11
  0.33806922E+03  0.25421016E-11
  0.35173028E+03  0.24859896E-11
  0.36594337E+03  0.24292852E-11
  0.38073079E+03  0.23719836E-11
  0.39611576E+03  0.23141016E-11
  0.41212242E+03  0.22557071E-11
  0.42877589E+03  0.21968729E-11
  0.44610232E+03  0.21376662E-11
  0.46412888E+03  0.20781397E-11
  0.48288389E+03  0.20183276E-11
  0.50239677E+03  0.19583499E-11
  0.52269814E+03  0.18983274E-11
  0.54381988E+03  0.18382941E-11
  0.56579512E+03  0.17783724E-11
  0.58865836E+03  0.17185119E-11
  0.61244548E+03  0.16588793E-11
  0.63719382E+03  0.15997114E-11
  0.66294222E+03  0.15409223E-11
  0.68973108E+03  0.14826353E-11
  0.71760246E+03  0.14247968E-11
  0.74660009E+03  0.13676833E-11
  0.77676949E+03  0.13113097E-11
  0.80815800E+03  0.12557149E-11
  0.84081490E+03  0.12009487E-11
  0.87479142E+03  0.11471121E-11
  0.91014091E+03  0.10942820E-11
  0.94691884E+03  0.10425023E-11
  0.98518293E+03  0.99183601E-12
  0.10249932E+04  0.94233353E-12
  0.10664122E+04  0.89404962E-12
  0.11095049E+04  0.84704086E-12
  0.11543390E+04  0.80135357E-12
  0.12009847E+04  0.75703107E-12
  0.12495154E+04  0.71410930E-12
  0.13000071E+04  0.67263595E-12
  0.13525391E+04  0.63260383E-12
  0.14071939E+04  0.59405098E-12
  0.14640573E+04  0.55699640E-12
  0.15232185E+04  0.52144505E-12
  0.15847703E+04  0.48744584E-12
  0.16488093E+04  0.45490913E-12
  0.17154361E+04  0.42388473E-12
  0.17847553E+04  0.39434872E-12
  0.18568755E+04  0.36628934E-12
  0.19319101E+04  0.33970918E-12
  0.20099768E+04  0.31452987E-12
  0.20911980E+04  0.29074993E-12
  0.21757013E+04  0.26833543E-12
  0.22636193E+04  0.24725181E-12
  0.23550900E+04  0.22746598E-12
  0.24502570E+04  0.20893092E-12
  0.25492695E+04  0.19158953E-12
  0.26522831E+04  0.17540569E-12
  0.27594593E+04  0.16033247E-12
  0.28709664E+04  0.14632178E-12
  0.29869795E+04  0.13333340E-12
  0.31076805E+04  0.12129906E-12
  0.32332589E+04  0.11017717E-12
  0.33639118E+04  0.99918871E-13
  0.34998442E+04  0.90475120E-13
  0.36412696E+04  0.81796749E-13
  0.37884098E+04  0.73841873E-13
  0.39414959E+04  0.66560491E-13
  0.41007680E+04  0.59903868E-13
  0.42664761E+04  0.53833484E-13
  0.44388803E+04  0.48306545E-13
  0.46182512E+04  0.43283818E-13
  0.48048704E+04  0.38728687E-13
  0.49990306E+04  0.34602783E-13
  0.52010367E+04  0.30872842E-13
  0.54112056E+04  0.27506448E-13
  0.56298673E+04  0.24473483E-13
  0.58573648E+04  0.21745226E-13
  0.60940554E+04  0.19295183E-13
  0.63403103E+04  0.17098640E-13
  0.65965162E+04  0.15132552E-13
  0.68630752E+04  0.13375362E-13
  0.71404055E+04  0.11807223E-13
  0.74289425E+04  0.10409965E-13
  0.77291390E+04  0.91667061E-14
  0.80414661E+04  0.80619099E-14
  0.83664141E+04  0.70822694E-14
  0.87044929E+04  0.62144168E-14
  0.90562332E+04  0.54466651E-14
  0.94221869E+04  0.47684095E-14
  0.98029285E+04  0.41700020E-14
  0.10199056E+05  0.36424359E-14
  0.10611190E+05  0.31785488E-14
  0.11039978E+05  0.27707848E-14
  0.11486093E+05  0.24129388E-14
  0.11950235E+05  0.20991493E-14
  0.12433132E+05  0.18244132E-14
  0.12935543E+05  0.15840682E-14
  0.13458256E+05  0.13740274E-14
  0.14002092E+05  0.11907972E-14
  0.14567903E+05  0.10310524E-14
  0.15156578E+05  0.89195848E-15
  0.15769041E+05  0.77096299E-15
  0.16406253E+05  0.66579327E-15
  0.17069214E+05  0.57448403E-15
  0.17758964E+05  0.49526147E-15
  0.18476587E+05  0.42663817E-15
  0.19223208E+05  0.36721567E-15
  0.20000000E+05  0.31582346E-15
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.21579171E-09
  0.10404090E+01  0.21566396E-09
  0.10824510E+01  0.21553058E-09
  0.11261918E+01  0.21539139E-09
  0.11717001E+01  0.21524623E-09
  0.12190474E+01  0.21509495E-09
  0.12683080E+01  0.21493743E-09
  0.13195591E+01  0.21477354E-09
  0.13728812E+01  0.21460320E-09
  0.14283580E+01  0.21442637E-09
  0.14860766E+01  0.21424303E-09
  0.15461276E+01  0.21405321E-09
  0.16086051E+01  0.21385701E-09
  0.16736073E+01  0.21365444E-09
  0.17412362E+01  0.21344523E-09
  0.18115979E+01  0.21322903E-09
  0.18848028E+01  0.21300546E-09
  0.19609659E+01  0.21277407E-09
  0.20402067E+01  0.21253436E-09
  0.21226495E+01  0.21228576E-09
  0.22084237E+01  0.21202760E-09
  0.22976640E+01  0.21175915E-09
  0.23905104E+01  0.21147951E-09
  0.24871087E+01  0.21118772E-09
  0.25876104E+01  0.21088300E-09
  0.26921732E+01  0.21056504E-09
  0.28009614E+01  0.21023354E-09
  0.29141456E+01  0.20988832E-09
  0.30319034E+01  0.20952921E-09
  0.31544197E+01  0.20915615E-09
  0.32818868E+01  0.20876918E-09
  0.34145047E+01  0.20836846E-09
  0.35524816E+01  0.20795429E-09
  0.36960340E+01  0.20752706E-09
  0.38453872E+01  0.20708664E-09
  0.40007757E+01  0.20663264E-09
  0.41624432E+01  0.20616464E-09
  0.43306436E+01  0.20568215E-09
  0.45056407E+01  0.20518468E-09
  0.46877094E+01  0.20467166E-09
  0.48771352E+01  0.20414247E-09
  0.50742156E+01  0.20359641E-09
  0.52792599E+01  0.20303272E-09
  0.54925897E+01  0.20245051E-09
  0.57145400E+01  0.20184894E-09
  0.59454591E+01  0.20122747E-09
  0.61857095E+01  0.20058563E-09
  0.64356681E+01  0.19992296E-09
  0.66957273E+01  0.19923900E-09
  0.69662953E+01  0.19853331E-09
  0.72477966E+01  0.19780545E-09
  0.75406732E+01  0.19705502E-09
  0.78453846E+01  0.19628165E-09
  0.81624091E+01  0.19548499E-09
  0.84922443E+01  0.19466471E-09
  0.88354078E+01  0.19382053E-09
  0.91924382E+01  0.19295210E-09
  0.95638959E+01  0.19205894E-09
  0.99503638E+01  0.19114055E-09
  0.10352449E+02  0.19019642E-09
  0.10770781E+02  0.18922600E-09
  0.11206018E+02  0.18822864E-09
  0.11658843E+02  0.18720354E-09
  0.12129965E+02  0.18614976E-09
  0.12620126E+02  0.18506626E-09
  0.13130093E+02  0.18395182E-09
  0.13660667E+02  0.18280506E-09
  0.14212682E+02  0.18162445E-09
  0.14787003E+02  0.18040898E-09
  0.15384532E+02  0.17915786E-09
  0.16006206E+02  0.17787029E-09
  0.16653001E+02  0.17654543E-09
  0.17325933E+02  0.17518279E-09
  0.18026058E+02  0.17378230E-09
  0.18754474E+02  0.17234403E-09
  0.19512324E+02  0.17086800E-09
  0.20300798E+02  0.16935309E-09
  0.21121134E+02  0.16779755E-09
  0.21974619E+02  0.16619934E-09
  0.22862593E+02  0.16455686E-09
  0.23786448E+02  0.16286952E-09
