#  Principal QN n  Azimuthal QN l
#               1               0
# Electron Energy Probability dst
  0.10000000E+01  0.10131066E-13
  0.10456357E+01  0.10133886E-13
  0.10933540E+01  0.10136812E-13
  0.11432499E+01  0.10139846E-13
  0.11954229E+01  0.10142991E-13
  0.12499768E+01  0.10146249E-13
  0.13070204E+01  0.10149624E-13
  0.13666671E+01  0.10153117E-13
  0.14290359E+01  0.10156731E-13
  0.14942509E+01  0.10160467E-13
  0.15624421E+01  0.10164329E-13
  0.16337452E+01  0.10168317E-13
  0.17083022E+01  0.10172432E-13
  0.17862617E+01  0.10176677E-13
  0.18677790E+01  0.10181051E-13
  0.19530164E+01  0.10185555E-13
  0.20421436E+01  0.10190189E-13
  0.21353382E+01  0.10194952E-13
  0.22327858E+01  0.10199844E-13
  0.23346805E+01  0.10204862E-13
  0.24412252E+01  0.10210003E-13
  0.25526322E+01  0.10215266E-13
  0.26691232E+01  0.10220645E-13
  0.27909305E+01  0.10226135E-13
  0.29182965E+01  0.10231731E-13
  0.30514749E+01  0.10237426E-13
  0.31907310E+01  0.10243210E-13
  0.33363422E+01  0.10249075E-13
  0.34885984E+01  0.10255010E-13
  0.36478030E+01  0.10261001E-13
  0.38142729E+01  0.10267034E-13
  0.39883398E+01  0.10273093E-13
  0.41703504E+01  0.10279161E-13
  0.43606672E+01  0.10285217E-13
  0.45596692E+01  0.10291238E-13
  0.47677528E+01  0.10297201E-13
  0.49853324E+01  0.10303079E-13
  0.52128414E+01  0.10308841E-13
  0.54507329E+01  0.10314457E-13
  0.56994808E+01  0.10319891E-13
  0.59595804E+01  0.10325106E-13
  0.62315499E+01  0.10330062E-13
  0.65159309E+01  0.10334716E-13
  0.68132898E+01  0.10339023E-13
  0.71242189E+01  0.10342934E-13
  0.74493374E+01  0.10346399E-13
  0.77892930E+01  0.10349366E-13
  0.81447626E+01  0.10351782E-13
  0.85164544E+01  0.10353590E-13
  0.89051085E+01  0.10354737E-13
  0.93114992E+01  0.10355166E-13
  0.97364357E+01  0.10354825E-13
  0.10180765E+02  0.10353663E-13
  0.10645371E+02  0.10351636E-13
  0.11131179E+02  0.10348704E-13
  0.11639158E+02  0.10344838E-13
  0.12170319E+02  0.10340021E-13
  0.12725720E+02  0.10334253E-13
  0.13306467E+02  0.10327552E-13
  0.13913716E+02  0.10319963E-13
  0.14548678E+02  0.10311563E-13
  0.15212617E+02  0.10302468E-13
  0.15906855E+02  0.10292840E-13
  0.16632775E+02  0.10282901E-13
  0.17391823E+02  0.10272941E-13
  0.18185510E+02  0.10263263E-13
  0.19015418E+02  0.10253968E-13
  0.19883200E+02  0.10245095E-13
  0.20790583E+02  0.10236683E-13
  0.21739375E+02  0.10228762E-13
  0.22731466E+02  0.10221357E-13
  0.23768832E+02  0.10214481E-13
  0.24853539E+02  0.10208136E-13
  0.25987747E+02  0.10202305E-13
  0.27173715E+02  0.10196949E-13
  0.28413806E+02  0.10192003E-13
  0.29710489E+02  0.10187369E-13
  0.31066348E+02  0.10182907E-13
  0.32484081E+02  0.10178425E-13
  0.33966514E+02  0.10173675E-13
  0.35516599E+02  0.10168332E-13
  0.37137423E+02  0.10162012E-13
  0.38832214E+02  0.10154555E-13
  0.40604349E+02  0.10145998E-13
  0.42457356E+02  0.10136418E-13
  0.44394926E+02  0.10125933E-13
  0.46420918E+02  0.10114715E-13
  0.48539368E+02  0.10103002E-13
  0.50754495E+02  0.10091109E-13
  0.53070711E+02  0.10079445E-13
  0.55492628E+02  0.10068420E-13
  0.58025072E+02  0.10058123E-13
  0.60673085E+02  0.10048551E-13
  0.63441942E+02  0.10039674E-13
  0.66337158E+02  0.10031432E-13
  0.69364499E+02  0.10023722E-13
  0.72529995E+02  0.10016394E-13
  0.75839950E+02  0.10009236E-13
  0.79300958E+02  0.10001962E-13
  0.82919910E+02  0.99942123E-14
  0.86704016E+02  0.99858047E-14
  0.90660813E+02  0.99767882E-14
  0.94798180E+02  0.99672476E-14
  0.99124359E+02  0.99573011E-14
  0.10364797E+03  0.99471077E-14
  0.10837801E+03  0.99368749E-14
  0.11332391E+03  0.99268605E-14
  0.11849553E+03  0.99172016E-14
  0.12390315E+03  0.99078736E-14
  0.12955756E+03  0.98988220E-14
  0.13547000E+03  0.98899635E-14
  0.14165227E+03  0.98811784E-14
  0.14811666E+03  0.98723041E-14
  0.15487607E+03  0.98632036E-14
  0.16194394E+03  0.98538579E-14
  0.16933436E+03  0.98442617E-14
  0.17706205E+03  0.98344085E-14
  0.18514240E+03  0.98242906E-14
  0.19359150E+03  0.98138981E-14
  0.20242617E+03  0.98032233E-14
  0.21166403E+03  0.97922726E-14
  0.22132346E+03  0.97810581E-14
  0.23142371E+03  0.97695955E-14
  0.24198488E+03  0.97578930E-14
  0.25302803E+03  0.97458933E-14
  0.26457513E+03  0.97334980E-14
  0.27664920E+03  0.97205811E-14
  0.28927427E+03  0.97069834E-14
  0.30247550E+03  0.96925689E-14
  0.31627917E+03  0.96773935E-14
  0.33071278E+03  0.96615887E-14
  0.34580508E+03  0.96453322E-14
  0.36158613E+03  0.96287623E-14
  0.37808736E+03  0.96117057E-14
  0.39534163E+03  0.95938582E-14
  0.41338331E+03  0.95748436E-14
  0.43224834E+03  0.95544967E-14
  0.45197428E+03  0.95329522E-14
  0.47260044E+03  0.95104185E-14
  0.49416788E+03  0.94871471E-14
  0.51671956E+03  0.94631164E-14
  0.54030041E+03  0.94380797E-14
  0.56495738E+03  0.94117785E-14
  0.59073959E+03  0.93841421E-14
  0.61769839E+03  0.93551654E-14
  0.64588748E+03  0.93248562E-14
  0.67536299E+03  0.92932233E-14
  0.70618363E+03  0.92602833E-14
  0.73841080E+03  0.92260699E-14
  0.77210867E+03  0.91906307E-14
  0.80734438E+03  0.91540295E-14
  0.84418808E+03  0.91162245E-14
  0.88271317E+03  0.90770111E-14
  0.92299639E+03  0.90361612E-14
  0.96511795E+03  0.89937572E-14
  0.10091618E+04  0.89500909E-14
  0.10552155E+04  0.89050882E-14
  0.11033710E+04  0.88583771E-14
  0.11537241E+04  0.88097606E-14
  0.12063751E+04  0.87595329E-14
  0.12614288E+04  0.87079821E-14
  0.13189950E+04  0.86546917E-14
  0.13791882E+04  0.85992498E-14
  0.14421284E+04  0.85419587E-14
  0.15079409E+04  0.84831023E-14
  0.15767568E+04  0.84222734E-14
  0.16487131E+04  0.83592089E-14
  0.17239533E+04  0.82940568E-14
  0.18026270E+04  0.82268724E-14
  0.18848911E+04  0.81575682E-14
  0.19709094E+04  0.80860916E-14
  0.20608532E+04  0.80123903E-14
  0.21549016E+04  0.79363317E-14
  0.22532420E+04  0.78579482E-14
  0.23560703E+04  0.77772801E-14
  0.24635911E+04  0.76936875E-14
  0.25760188E+04  0.76072791E-14
  0.26935771E+04  0.75189112E-14
  0.28165003E+04  0.74279481E-14
  0.29450332E+04  0.73341762E-14
  0.30794318E+04  0.72375927E-14
  0.32199637E+04  0.71377658E-14
  0.33669090E+04  0.70354462E-14
  0.35205601E+04  0.69305557E-14
  0.36812233E+04  0.68227234E-14
  0.38492184E+04  0.67121489E-14
  0.40248800E+04  0.65988127E-14
  0.42085582E+04  0.64824951E-14
  0.44006186E+04  0.63636522E-14
  0.46014438E+04  0.62422670E-14
  0.48114338E+04  0.61183469E-14
  0.50310068E+04  0.59919894E-14
  0.52606002E+04  0.58633230E-14
  0.55006712E+04  0.57324075E-14
  0.57516981E+04  0.55993304E-14
  0.60141807E+04  0.54642796E-14
  0.62886419E+04  0.53273348E-14
  0.65756283E+04  0.51886957E-14
  0.68757115E+04  0.50484786E-14
  0.71894893E+04  0.49070524E-14
  0.75175865E+04  0.47641671E-14
  0.78606566E+04  0.46202277E-14
  0.82193830E+04  0.44753981E-14
  0.85944801E+04  0.43299054E-14
  0.89866950E+04  0.41839895E-14
  0.93968089E+04  0.40379714E-14
  0.98256386E+04  0.38918907E-14
  0.10274038E+05  0.37459458E-14
  0.10742901E+05  0.36005283E-14
  0.11233160E+05  0.34558175E-14
  0.11745793E+05  0.33121618E-14
  0.12281820E+05  0.31696647E-14
  0.12842310E+05  0.30287750E-14
  0.13428377E+05  0.28894968E-14
  0.14041190E+05  0.27522513E-14
  0.14681969E+05  0.26171862E-14
  0.15351991E+05  0.24845954E-14
  0.16052589E+05  0.23546071E-14
  0.16785160E+05  0.22275332E-14
  0.17551162E+05  0.21035352E-14
  0.18352121E+05  0.19828532E-14
  0.19189633E+05  0.18655697E-14
  0.20065365E+05  0.17519386E-14
  0.20981061E+05  0.16420073E-14
  0.21938546E+05  0.15359967E-14
  0.22939727E+05  0.14339177E-14
  0.23986596E+05  0.13359334E-14
  0.25081241E+05  0.12420948E-14
  0.26225840E+05  0.11524729E-14
  0.27422674E+05  0.10670554E-14
  0.28674126E+05  0.98586688E-15
  0.29982690E+05  0.90888961E-15
  0.31350970E+05  0.83607294E-15
  0.32781693E+05  0.76743632E-15
  0.34277707E+05  0.70287604E-15
  0.35841994E+05  0.64232988E-15
  0.37477667E+05  0.58566780E-15
  0.39187986E+05  0.53281552E-15
  0.40976356E+05  0.48362507E-15
  0.42846340E+05  0.43797396E-15
  0.44801661E+05  0.39572375E-15
  0.46846215E+05  0.35674098E-15
  0.48984074E+05  0.32087209E-15
  0.51219495E+05  0.28793958E-15
  0.53556932E+05  0.25780295E-15
  0.56001038E+05  0.23028496E-15
  0.58556683E+05  0.20522436E-15
  0.61228957E+05  0.18248507E-15
  0.64023182E+05  0.16189383E-15
  0.66944923E+05  0.14330527E-15
  0.70000000E+05  0.12655909E-15
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.25385091E-12
  0.10456357E+01  0.25392905E-12
  0.10933540E+01  0.25400990E-12
  0.11432499E+01  0.25409353E-12
  0.11954229E+01  0.25417997E-12
  0.12499768E+01  0.25426927E-12
  0.13070204E+01  0.25436145E-12
  0.13666671E+01  0.25445655E-12
  0.14290359E+01  0.25455458E-12
  0.14942509E+01  0.25465557E-12
  0.15624421E+01  0.25475950E-12
  0.16337452E+01  0.25486637E-12
  0.17083022E+01  0.25497616E-12
  0.17862617E+01  0.25508884E-12
  0.18677790E+01  0.25520434E-12
  0.19530164E+01  0.25532262E-12
  0.20421436E+01  0.25544358E-12
  0.21353382E+01  0.25556711E-12
  0.22327858E+01  0.25569309E-12
  0.23346805E+01  0.25582136E-12
  0.24412252E+01  0.25595175E-12
  0.25526322E+01  0.25608404E-12
  0.26691232E+01  0.25621799E-12
  0.27909305E+01  0.25635332E-12
  0.29182965E+01  0.25648972E-12
  0.30514749E+01  0.25662684E-12
  0.31907310E+01  0.25676428E-12
  0.33363422E+01  0.25690158E-12
  0.34885984E+01  0.25703827E-12
  0.36478030E+01  0.25717379E-12
  0.38142729E+01  0.25730754E-12
  0.39883398E+01  0.25743887E-12
  0.41703504E+01  0.25756704E-12
  0.43606672E+01  0.25769128E-12
  0.45596692E+01  0.25781075E-12
  0.47677528E+01  0.25792451E-12
  0.49853324E+01  0.25803161E-12
  0.52128414E+01  0.25813097E-12
  0.54507329E+01  0.25822150E-12
  0.56994808E+01  0.25830203E-12
  0.59595804E+01  0.25837131E-12
  0.62315499E+01  0.25842806E-12
  0.65159309E+01  0.25847097E-12
  0.68132898E+01  0.25849868E-12
  0.71242189E+01  0.25850983E-12
  0.74493374E+01  0.25850306E-12
  0.77892930E+01  0.25847706E-12
  0.81447626E+01  0.25843057E-12
  0.85164544E+01  0.25836245E-12
  0.89051085E+01  0.25827171E-12
  0.93114992E+01  0.25815757E-12
  0.97364357E+01  0.25801954E-12
  0.10180765E+02  0.25785753E-12
  0.10645371E+02  0.25767188E-12
  0.11131179E+02  0.25746355E-12
  0.11639158E+02  0.25723425E-12
  0.12170319E+02  0.25698661E-12
  0.12725720E+02  0.25672434E-12
  0.13306467E+02  0.25645255E-12
  0.13913716E+02  0.25617798E-12
  0.14548678E+02  0.25590933E-12
  0.15212617E+02  0.25565537E-12
  0.15906855E+02  0.25541826E-12
  0.16632775E+02  0.25519819E-12
  0.17391823E+02  0.25499483E-12
  0.18185510E+02  0.25480720E-12
  0.19015418E+02  0.25463350E-12
  0.19883200E+02  0.25447093E-12
  0.20790583E+02  0.25431544E-12
  0.21739375E+02  0.25416146E-12
  0.22731466E+02  0.25400159E-12
  0.23768832E+02  0.25382623E-12
  0.24853539E+02  0.25362722E-12
  0.25987747E+02  0.25340289E-12
  0.27173715E+02  0.25315259E-12
  0.28413806E+02  0.25287602E-12
  0.29710489E+02  0.25257323E-12
